libraryName	laneNb	pipelineVersion	laneYield	clustersPF	percentPFClusters	percentQ30PF	meanScorePF	DirectoryLocation
F8-2	2	2.2	11,303	37,426,629	100	88.03	34.84	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-4	2	2.2	4,447	14,725,496	100	90.27	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F7-3	2	2.2	3,979	13,176,245	100	89.28	35.07	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-3	2	2.2	1,207	3,995,783	100	91.06	35.44	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-1	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-4	2	2.2	5,307	17,572,991	100	88.46	34.93	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-2	2	2.2	4,382	14,510,024	100	90.18	35.24	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F4-1	2	2.2	10,921	36,163,639	100	89.04	35.01	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A6-1	2	2.2	5,593	18,520,403	100	89.78	35.16	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-4	2	2.2	1,600	5,297,415	100	89.09	35.1	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-2	2	2.2	2,386	7,899,065	100	90.43	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C7-1	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-3	2	2.2	2,377	7,870,451	100	90.37	35.31	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-1	2	2.2	877	2,903,815	100	90.2	35.27	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-5	2	2.2	757	2,505,415	100	91.61	35.55	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-4	2	2.2	762	2,524,627	100	91.31	35.49	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D7-1	2	2.2	620	2,052,764	100	90.59	35.36	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-5	2	2.2	1,330	4,405,164	100	91.14	35.46	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D6-2	2	2.2	99	329,004	100	90.18	35.29	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-1	2	2.2	1,553	5,141,622	100	89.97	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-2	2	2.2	3,518	11,650,180	100	88.62	34.95	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-1	2	2.2	3,675	12,170,012	100	89.26	35.07	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-5	2	2.2	1,513	5,008,333	100	90.06	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-4	2	2.2	1,783	5,904,918	100	89.9	35.22	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-2	2	2.2	1,243	4,114,821	100	90.37	35.31	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-1	2	2.2	3,431	11,361,690	100	89.07	35.06	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-2	2	2.2	1,019	3,375,401	100	89.71	35.17	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-5	2	2.2	3,168	10,490,111	100	88.81	35.02	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-4	2	2.2	1,190	3,941,804	100	87.61	34.82	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-3	2	2.2	1,253	4,149,228	100	88.3	34.94	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-2	2	2.2	1,908	6,318,324	100	90.39	35.31	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M7-1	2	2.2	1,420	4,702,367	100	90.59	35.35	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-4	2	2.2	1,243	4,117,055	100	90.06	35.25	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-3	2	2.2	2,394	7,925,638	100	89.42	35.13	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-3	2	2.2	1,973	6,534,712	100	90.19	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-2	2	2.2	522	1,730,053	100	90.34	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-1	2	2.2	0	95	100	90.72	35.37	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-3	2	2.2	976	3,232,491	100	91.67	35.57	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-2	2	2.2	619	2,050,105	100	90.77	35.4	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M2-1	2	2.2	664	2,198,872	100	90.98	35.44	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-5	2	2.2	5,916	19,588,554	100	88.29	34.88	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-3	2	2.2	992	3,283,450	100	86.78	34.66	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-2	2	2.2	789	2,612,384	100	90.32	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D5-1	2	2.2	698	2,312,602	100	89.65	35.18	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-5	2	2.2	845	2,799,273	100	89.4	35.12	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-4	2	2.2	872	2,887,229	100	90.94	35.42	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-2	2	2.2	883	2,922,400	100	88	34.84	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
D4-1	2	2.2	1,367	4,526,146	100	89.9	35.22	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F8-4	2	2.2	10,727	35,519,566	100	89	35	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M6-4	2	2.2	0	85	100	89.38	35.1	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M6-3	2	2.2	556	1,841,519	100	91.6	35.56	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M6-2	2	2.2	1,147	3,798,923	100	89.89	35.24	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M6-1	2	2.2	449	1,487,028	100	88.53	35.01	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M5-5	2	2.2	70	230,891	100	90.25	35.32	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
